,SPCD,DO_BH,HT_TOT,TT_DW_CRM
86817,93,11.3,56.0,492.14
77463,202,5.6,36.3,94.04
26127,837,14.9,84.7,1802.22
80087,125,9.8,81.4,522.13
8913,318,19.0,78.0,3768.04
964,318,15.5,77.5,2296.94
71754,316,4.5,46.0,77.83
109172,202,26.3,113.7,5771.36
50569,131,15.1,61.0,1212.08
8608,541,10.3,70.8,848.18
56830,540,18.2,88.0,2516.29
117791,999,2.1,15.7,10.01
14637,694,14.7,85.0,1458.85
55677,131,12.1,75.0,945.83
88210,833,10.4,80.2,634.55
72198,491,1.0,12.0,1.76
6757,541,18.8,76.0,3384.82
55225,621,9.2,58.0,368.82
62944,131,6.1,44.0,122.17
14229,491,1.7,14.0,6.54
85792,202,3.9,27.0,36.28
93648,371,21.7,81.4,3335.92
9957,111,6.2,50.0,168.38
123577,820,10.2,66.4,751.28
115834,746,9.0,80.2,402.76
117009,132,7.9,50.0,294.25
85088,122,17.8,44.6,1171.28
44861,121,13.5,76.0,1412.08
3149,97,7.6,41.0,217.67
111507,972,1.7,18.0,5.63
39045,115,8.2,65.0,371.59
52553,531,13.2,74.0,1211.1
66229,591,6.3,38.0,171.18
107865,15,22.7,90.0,2917.05
67932,131,6.9,40.0,147.68
26252,121,9.9,68.4,683.21
87998,746,11.0,80.5,600.15
117047,132,8.9,52.0,388.97
84681,740,6.9,59.7,207.53
70616,316,8.6,67.0,439.79
93719,375,10.6,73.2,770.16
32677,263,13.6,73.1,1221.08
22915,837,13.0,63.5,1041.34
85935,93,14.6,95.0,1360.52
95578,95,3.4,33.5,27.08
17339,121,5.4,40.0,90.16
92196,110,9.6,52.9,375.04
84429,740,11.4,79.9,752.79
37730,121,7.1,53.4,258.61
73780,837,15.1,65.0,1422.09
49100,131,5.6,35.0,72.63
3102,97,9.5,47.0,383.99
25043,110,14.8,79.2,1572.06
31333,15,19.6,134.6,3376.27
112664,111,4.1,34.0,48.71
91789,823,12.8,68.8,1069.71
17063,827,16.5,77.0,2071.49
3344,375,8.6,75.0,611.63
104876,20,4.8,28.9,54.51
12851,131,3.9,23.5,36.36
31242,15,10.2,51.0,372.05
