SPCD,DO_BH,HT_TOT,TT_DW_CRM
371,8.4,69.4,580.93
371,15.4,80,2185.23
531,6.8,46.3,272.3
762,12.2,85,1324.04
762,12.7,90.4,1603.36
762,13.3,92,1747.56
762,14.4,84,1883.97
762,14.7,97.7,2188.89
762,15.1,101.8,2270.11
762,15.2,95,2322.13
762,16.6,107.8,2846.56
762,25.4,96,6016.4
762,13,86.6,1575.37
762,14.3,95,1886.66
762,14.9,90,2139.52
762,15.2,97.7,2325.75
762,17.2,107.8,3162.43
762,17.3,90,2819.16
762,17.3,103.5,3092.1
762,19.5,106,4010.52
762,19.9,86,3488.04
762,20,97.7,3819.75
762,20.4,97.6,3980.14
762,20.8,103,4464.81
762,22.2,91.4,4737.52
97,6.3,59.5,174.96
316,12.1,74.3,1038.36
316,15.9,67.3,1737.56
318,10.7,76.5,1122.49
318,13.2,64.6,1579.66
318,18.7,82,3510.35
318,20.7,83.7,4388.96
318,21.5,94.8,4923.36
318,9.8,52.5,759.77
318,10.4,56.9,841.54
318,12.2,59.1,1255.94
318,12.2,49.2,1112.11
318,12.6,84,1587.65
318,13,58.2,1304.89
318,13.4,59,1328.89
318,13.6,60.8,1611.27
318,15.4,86.9,2537.95
318,16.2,83.5,2516.07
318,16.3,78.2,2658.25
318,16.9,85.3,2802.79
318,18.3,90.5,3349.1
318,18.7,70.2,2795.21
318,19.5,64.5,3306.81
318,21.9,97.6,5598.61
371,13,60.1,1340.01
371,14.7,60.4,1591.31
371,13.7,73.5,1520.62
371,14,55.8,1513.31
371,15.3,63.4,1783.49
371,17.9,58.3,2452.58
371,18.4,66.9,2562.15
375,13.6,77.1,1453.93
531,9.5,68.4,808.17
531,10.1,51.3,694.32
531,15.1,84.5,2348.48
531,16.1,80.2,2655.06
833,14.1,74.5,1955.85
833,15.9,83,2610.23
833,16.4,81.5,2534.1
833,19.9,79.5,3897.36
833,20,78.6,3861.94
833,14.5,78.5,1963.75
833,16.2,80.6,2513.32
833,17,93.3,3104.39
833,18.1,90.9,3413.88
833,18.1,85.5,3340.17
833,18.4,88,3504.58
833,18.5,82.9,3342.03
833,21.6,87.6,4872.7
318,10,78.7,980.79
651,17.3,82.3,2187.34
832,14.2,92.9,2069.2
833,27.5,83.4,7491.98
833,15.1,82.6,2215.01
833,17.7,85.6,3226.27
833,20.7,83.3,4168.72
833,21.6,83.8,4687.78
833,24.5,93.5,6560.61
833,27.7,92.5,7987.67
316,10.6,69.1,843.16
318,12.1,80.9,1477.99
318,11.8,62.7,1127.27
318,12,78.6,1420.92
318,14,68.1,1594.08
318,14.7,76.3,2073.43
318,15.5,77.5,2296.94
402,13.7,91.6,2241.79
402,11.6,87,1427.46
402,14.1,88.1,2201.25
403,11.3,84.5,1535.97
531,6.6,40.8,183.56
651,11.5,66.1,799.81
762,20.1,86,3655.07
833,28.1,97.8,8610.23
951,6.7,59,180.38
951,14.6,80.6,1191.01
951,16.5,79.5,1633.52
951,19.1,89.3,2385.56
951,19.5,97.5,2577.71
975,12.3,77.5,1047.97
316,8.3,48.2,381.57
318,9.1,62.5,645.03
318,13.5,76.3,1622.49
802,14.7,80.7,1816.41
802,16.2,72.8,1980.35
832,10.3,74.6,811.22
833,10.7,67.2,954.72
316,7.6,70.4,400.22
316,8.5,69,513.71
372,8.2,64.8,532.46
802,9.2,72.6,662.66
802,13.1,85.4,1554.82
806,15,93.2,2630.33
806,15.7,93.6,2932.15
806,23.3,95.4,6274.11
806,18.7,93.2,4132.46
832,9.3,74.9,798.89
832,9.4,70,729.5
832,12.8,104,1684.48
